//All new/added keys can be found within these lines
// PC PORT: Translate: (New keys)
// PC PORT: END: Translate

//All modified/altered keys can be found within these lines
// PC PORT: Translate: (Old key, new value)
// PC PORT: END: Translate

*game_english
{
	*MENU_CONTENTLOADFAILED		"Unable to load '§p0'."
	*MENU_SAVINGOPTIONS		"Saving options"
	*MENU_OPTIONSLOADFAILED		"Unable to load options, restoring defaults. Press A to continue."

	*MENU_BINDING_CAPTION		"Key Bindings"
	*MENU_BINDING_BACK_Q		"Return to the options meny?"
	*MENU_BINDING_BACK_A		"Yes"
	*MENU_BINDING_BACK_B		"No"
	*MENU_BINDING_FWD 		"Move forward"
	*MENU_BINDING_BWD 		"Move backwards"
	*MENU_BINDING_LEFT 		"Strafe left"
	*MENU_BINDING_RIGHT 		"Strafe right"
	*MENU_BINDING_CROUCH 		"Crouch"
	*MENU_BINDING_JUMP 		"Jump"
	*MENU_BINDING_WEAPON_NEXT 	"Next weapon"
	*MENU_BINDING_WEAPON_PREV 	"Prev weapon"
	*MENU_BINDING_WEAPON_USE 	"Use weapon"
	*MENU_BINDING_ITEM_NEXT 	"Next item"
	*MENU_BINDING_ITEM_PREV 	"Previous item"
	*MENU_BINDING_ITEM_USE 		"Use item"
	*MENU_BINDING_DRINK_POTION 	"Drink potion"
	*MENU_BINDING_CYCLECAMERA 	"Camera mode"

	*MENU_DEFAULTBINDING		"Default key bindings"
	*MENU_DEFAULTBINDING_Q		"Are you sure you want to revert to default keybindings?"
	*MENU_DEFAULTBINDING_A		"Revert"
	*MENU_DEFAULTBINDING_B		"Cancel"
	*MENU_BINDING_INCOMPLETE	"You will not be able to play the game if you don't bind all functions!"

	*CHAR_AI_KNIGHT			"Knight"
	*CHAR_AI_KNIGHT_L0		"Squire"
	*CHAR_AI_KNIGHT_L1		"Armsman"
	*CHAR_AI_KNIGHT_L2		"Knight"
	*CHAR_AI_KNIGHT_L3		"Champion"
	*CHAR_AI_KNIGHT_COMMANDER	"Commander Ehrick"
	*CHAR_AI_ARCHER			"Archer"
	*CHAR_AI_ARCHER_L0		"Elven Archer"
	*CHAR_AI_ARCHER_L1		"Elven Marksman"
	*CHAR_AI_ARCHER_L2		"Elven Elite Archer"
	*CHAR_AI_ARCHER_L3		"Elven Hunter"
	*CHAR_AI_HUNTRESS		"Huntress"
	*CHAR_AI_HUNTRESS_L0		"Elven Huntress"
	*CHAR_AI_HUNTRESS_L1		"Elven Marksman"
	*CHAR_AI_HUNTRESS_L2		"Elven Elite Archer"
	*CHAR_AI_HUNTRESS_L3		"Elven Elite Huntress"
	*CHAR_AI_WIZARD			"Wizard"
