//All new/added keys can be found within these lines
// PC PORT: Translate: (New keys)
// PC PORT: END: Translate

//All modified/altered keys can be found within these lines
// PC PORT: Translate: (Old key, new value)
// PC PORT: END: Translate

*game_german
{
		*MENU_CONTENTLOADFAILED		"'§p0' laden nicht möglich."
		*MENU_SAVINGOPTIONS		"ÄNDERUNGEN GESPEICHERT"
		*MENU_OPTIONSLOADFAILED		"Optionen können nicht geladen werden, Standardeinstellungen werden wiederhergestellt. Zum Fortfahren A-Taste drücken."

	*MENU_BINDING_CAPTION		"Tastenbelegung"
	*MENU_BINDING_BACK_Q		"Zurück zum Optionsmenü?"
	*MENU_BINDING_BACK_A		"Ja"
	*MENU_BINDING_BACK_B		"Nein"
	*MENU_BINDING_FWD 		"Vorwärts"
	*MENU_BINDING_BWD 		"Rückwärts"
	*MENU_BINDING_LEFT 		"Links"
	*MENU_BINDING_RIGHT 		"Rechts"
	*MENU_BINDING_CROUCH 		"Ducken"
	*MENU_BINDING_JUMP 		"Springen"
	*MENU_BINDING_WEAPON_NEXT 	"Nächste Waffe"
	*MENU_BINDING_WEAPON_PREV 	"Vorige Waffe"
	*MENU_BINDING_WEAPON_USE 	"Waffe benutzen"
	*MENU_BINDING_ITEM_NEXT 	"Gegenstd. Auf"
	*MENU_BINDING_ITEM_PREV 	"Gegenstd. Ab"
	*MENU_BINDING_ITEM_USE 		"Benutzen"
	*MENU_BINDING_DRINK_POTION 	"Heiltrank"
	*MENU_BINDING_CYCLECAMERA 	"Kamera"

	*MENU_DEFAULTBINDING		"Standardbelegung"
	*MENU_DEFAULTBINDING_Q		"Standardbelegung wiederherstellen - bist du sicher?"
	*MENU_DEFAULTBINDING_A		"Wiederherstellen"
	*MENU_DEFAULTBINDING_B		"Abbrechen"
	*MENU_BINDING_INCOMPLETE	"Ohne Zuweisung aller Funktionen kannst du nicht spielen!"

		*CHAR_AI_KNIGHT			"Ritter"
		*CHAR_AI_KNIGHT_L0		"Knappe"
		*CHAR_AI_KNIGHT_L1		"Junker"
		*CHAR_AI_KNIGHT_L2		"Ritter"
		*CHAR_AI_KNIGHT_L3		"Edelmann"
		*CHAR_AI_KNIGHT_COMMANDER	"Befehlshaber Ehrick"
		*CHAR_AI_ARCHER			"Bogenschütze"
		*CHAR_AI_ARCHER_L0		"Bogenelf"
		*CHAR_AI_ARCHER_L1		"Elfenschütze"
		*CHAR_AI_ARCHER_L2		"Elite- Elfenschütze"
		*CHAR_AI_ARCHER_L3		"Elfenjäger"
		*CHAR_AI_HUNTRESS		"Jägerin"
		*CHAR_AI_HUNTRESS_L0		"Elfenjägerin"
		*CHAR_AI_HUNTRESS_L1		"Elfenschützin"
		*CHAR_AI_HUNTRESS_L2		"Elite- Elfenschützin"
		*CHAR_AI_HUNTRESS_L3		"Elite- Elfenjägerin"
		*CHAR_AI_WIZARD			"Zauber"
		*CHAR_AI_WIZARD_L0		"Zauber- lehrling"
		*CHAR_AI_WIZARD_L1		"Zaubernovize"
		*CHAR_AI_WIZARD_L2		"Zaubermeister"
		*CHAR_AI_WIZARD_L3		"Hoher Zauberer"
		*CHAR_AI_DRUID			"Druidin"
		*CHAR_AI_DRUID_L0		"Druidennovizin"
		*CHAR_AI_DRUID_L1		"Druidenadepte"
	 	*CHAR_AI_DRUID_L2		"Druiden- meisterin"
		*CHAR_AI_DRUID_L3		"Altdruidin"
		*CHAR_AI_ENGINEER		"Ingenieur"
